"Structure",Lambda,Avg J_t,Avg J_cv,Avg F1_score
"33 4 5 1",0.01,0.03473000787949001,0.4560058746717196,0.9314106503943957
"33 1 1 1",0.01,0.21424762000841469,0.460530548129167,0.8903141741285339
"33 5 3 1",0.1,0.23370388041654183,0.4610475593359437,0.9070431824903874
"33 2 4 1",0.1,0.20559656391680278,0.4611560335857951,0.9119381022557315
"33 4 4 1",0.1,0.21334367948193064,0.4614821902466108,0.9180917033480058
"33 2 1 1",0.01,0.059442979194221965,0.4618489573243548,0.9202124321429859
"33 2 2 1",0.1,0.2696609430824738,0.46292003843897317,0.9091165260560651
"33 1 3 1",0.01,0.17516486500087264,0.46311508691484216,0.8994271187016001
"33 5 4 1",0.1,0.20216487882261944,0.4647805345231942,0.9250220996611207
"33 3 5 1",0.1,0.21438603830264347,0.47219829548537406,0.9152115654772549
"33 5 2 1",0.1,0.23969705418552598,0.4746778330657128,0.914347051864224
"33 4 5 1",0.1,0.21438646635643743,0.4771102814419856,0.9155974708724068
"33 3 3 1",0.1,0.24704221538249085,0.48087091909434587,0.9065835299794974
"33 1 5 1",0.01,0.16206085796243852,0.48566646885290055,0.9075706802595688
"33 1 4 1",0.01,0.1822180354121446,0.4869285924541584,0.9129500488150688
"33 3 2 1",0.1,0.25692331258683265,0.4896334303620278,0.9035935549284272
"33 4 2 1",0.1,0.2563959866045291,0.49032126054555125,0.9207990020933063
"33 1 2 1",0.01,0.21560498645524592,0.49392974642018855,0.8989061692964124
"33 1 4 1",0.1,0.29199716470995507,0.5009314551976727,0.8933842334388686
"33 1 5 1",0.1,0.3181058671712281,0.5051704934635665,0.9046095340638777
"33 1 3 1",0.1,0.385587744007468,0.5311720280951071,0.8616409632032399
"33 2 1 1",0.1,0.3702887277759236,0.5321846235319717,0.8674098997315252
"33 2 5 1",0.1,0.3050738998931134,0.5329568953040644,0.8835384383458218
"33 3 1 1",0.1,0.4518552698504303,0.5424132000944785,0.8460655204825667
"33 5 1 1",0.1,0.411594328669905,0.5487851379438005,0.8577722241438949
"33 4 1 1",0.1,0.44780572272286207,0.569125293427148,0.8537279019118886
"33 2 3 1",0.1,0.4376612518163328,0.5706639830410357,0.8351156133515957
"33 1 2 1",0.1,0.420059208864349,0.5718182733002962,0.8592301769639322
"33 1 1 1",0.1,0.499085073863916,0.5977810721959836,0.82941417238551
"33 5 1",1.0,0.5481885616253359,0.6396609563385189,0.824889270829414
"33 3 1",1.0,0.5544571479083049,0.6417804828121609,0.8217870376328411
"33 2 1",1.0,0.5601731919212385,0.6425836605337607,0.8156988803232339
"33 1 1",1.0,0.575290340918985,0.6437111792464512,0.7980060483047348
"33 4 1",1.0,0.5517252624893624,0.6438349895377081,0.8217027674119208
"33 5 2 1",1.0,0.6528246908698845,0.6527877239535131,0.7813092052164308
"33 3 2 1",1.0,0.6528246991595531,0.6527877633888353,0.7813092052164308
"33 1 1 1",1.0,0.652824609405959,0.6527891010937329,0.7813092052164308
"33 5 1 1",1.0,0.6528246189096836,0.6527892620787149,0.7813092052164308
"33 4 1 1",1.0,0.6528246135503719,0.6527895685161782,0.7813092052164308
"33 1 2 1",1.0,0.6528246644207631,0.6527896947077727,0.7813092052164308
"33 2 1 1",1.0,0.6528246268238079,0.6527898448933749,0.7813092052164308
"33 3 1 1",1.0,0.6528246348407689,0.6527899758179354,0.7813092052164308
"33 4 2 1",1.0,0.6528246721159683,0.6527904462639255,0.7813092052164308
"33 4 3 1",1.0,0.6528247671109294,0.6527905261864181,0.7813092052164308
"33 3 4 1",1.0,0.6528248422716068,0.6527909056296549,0.7813092052164308
"33 5 3 1",1.0,0.6528247559124741,0.6527910812875354,0.7813092052164308
"33 5 4 1",1.0,0.6528247912655641,0.6527912680575044,0.7813092052164308
"33 2 3 1",1.0,0.6528247694260585,0.6527921378159387,0.7813092052164308
"33 3 3 1",1.0,0.6528248093059296,0.6527921592199559,0.7813092052164308
"33 4 5 1",1.0,0.6528250096344517,0.6527922876236948,0.7813092052164308
"33 1 3 1",1.0,0.6528248168791363,0.6527927594780683,0.7813092052164308
"33 4 4 1",1.0,0.652824845113528,0.6527928037284789,0.7813092052164308
"33 1 4 1",1.0,0.6528248827391725,0.6527936919959716,0.7813092052164308
"33 5 5 1",1.0,0.6528249061752759,0.6527938915944327,0.7813092052164308
"33 2 4 1",1.0,0.6528249248130479,0.6527939305230956,0.7813092052164308
"33 1 5 1",1.0,0.6528249826927404,0.6527941393727856,0.7813092052164308
"33 3 5 1",1.0,0.6528250561208637,0.6527957419645937,0.7813092052164308
"33 2 5 1",1.0,0.65282512252953,0.6527961424290312,0.7813092052164308
"33 2 2 1",1.0,0.652991585450203,0.6549714305615639,0.7813092052164308
