Structure    Lambda     Avg J_t                Stddev J_t             Avg J_cv               Stddev J_cv            Avg F1_score           Stddev F1_score       
13 3 1 3     0.1        1.6115211010209471     0.343006215219449      1.710881233238176      0.2204297756447115     0.3329905052994298     0.17512429367310503   
13 2 1 3     0.1        1.6709269788376262     0.3363704414073941     1.7523846138823633     0.2121131057864204     0.30635919508917225    0.17772266115680682   
13 1 1 3     0.1        1.6784775004264723     0.3253161000407122     1.7806131773342684     0.16798769422759227    0.2919914439701311     0.1545404130950248    
13 1 2 3     1.0        1.8906702667747475     0.0009036893967090511  1.8907740430620898     0.008233832314198492   0.19015405260332796    0.00566021261534682   
13 2 5 3     1.0        1.890673467848939      0.0009032998064191713  1.8907745374536653     0.008194398532660876   0.19015405260332796    0.00566021261534682   
13 2 1 3     1.0        1.8906688701420755     0.0009038722843534643  1.8907750108567984     0.008254394662960013   0.19015405260332796    0.00566021261534682   
13 4 4 3     1.0        1.8906725180926691     0.0009034433339402063  1.890775176702406      0.008202348012339485   0.19015405260332796    0.00566021261534682   
13 3 2 3     1.0        1.8906695552974981     0.0009037604748817906  1.890775902343761      0.008240766150477547   0.19015405260332796    0.00566021261534682   
13 1 3 3     1.0        1.8906710456552243     0.0009034861591810907  1.890777106022684      0.008211638368380932   0.19015405260332796    0.00566021261534682   
13 5 3 3     1.0        1.8906712185498737     0.0009039367973461461  1.8907771658687402     0.008213175743885097   0.19015405260332796    0.00566021261534682   
13 5 1 3     1.0        1.8906686500914553     0.0009040578506318068  1.8907777555717353     0.008255855783460084   0.19015405260332796    0.00566021261534682   
13 4 1 3     1.0        1.8906689563405767     0.0009038963369022057  1.8907781472585576     0.008252627983087799   0.19015405260332796    0.00566021261534682   
13 5 5 3     1.0        1.8906747853936305     0.000903354658840794   1.8907787175333042     0.008169211257833129   0.19015405260332796    0.00566021261534682   
13 5 4 3     1.0        1.890672155119136      0.0009043973563346833  1.890779873195084      0.008198810969799627   0.19015405260332796    0.00566021261534682   
13 1 4 3     1.0        1.8906719176882754     0.0009034844828513244  1.8907803106816108     0.008201194451942305   0.19015405260332796    0.00566021261534682   
13 4 2 3     1.0        1.8906697720464347     0.0009039372042749208  1.8907803851566711     0.008233098307737184   0.19015405260332796    0.00566021261534682   
13 3 4 3     1.0        1.890672743625282      0.0009041880226249143  1.890780543843832      0.008192618023974847   0.19015405260332796    0.00566021261534682   
13 4 3 3     1.0        1.890670948593603      0.0009042014890594236  1.8907817358177996     0.00820962934565195    0.19015405260332796    0.00566021261534682   
13 4 5 3     1.0        1.8906741557550906     0.0009037263358211754  1.8907827282326923     0.008174817559116082   0.19015405260332796    0.00566021261534682   
13 2 2 3     1.0        1.8906699085949614     0.0009042120158123056  1.8907830424754857     0.008227109766050204   0.19015405260332796    0.00566021261534682   
13 3 3 3     1.0        1.8906708427667218     0.0009041719607760789  1.890783622498363      0.008206167665764276   0.19015405260332796    0.00566021261534682   
13 2 3 3     1.0        1.8906721527025145     0.0009042304817257665  1.8907845430452621     0.00819389748624327    0.19015405260332796    0.00566021261534682   
13 3 1 3     1.0        1.890668837832638      0.0009042604210241587  1.8907869926151673     0.008244468799173297   0.19015405260332796    0.00566021261534682   
13 5 2 3     1.0        1.8906698574996583     0.0009042909393209929  1.890787157127652      0.008221055825361189   0.19015405260332796    0.00566021261534682   
13 2 4 3     1.0        1.8906729008236123     0.0009048909883072241  1.8907905936283498     0.008177600728652128   0.19015405260332796    0.00566021261534682   
13 3 5 3     1.0        1.8906751108566664     0.000904669250058312   1.89079292882856       0.00814886013065386    0.19015405260332796    0.00566021261534682   
13 1 5 3     1.0        1.89067489006556       0.0009050383617028526  1.8907976161798814     0.008147470964852053   0.19015405260332796    0.00566021261534682   
13 1 1 3     1.0        1.8909151126144788     0.0009091505956570772  1.8911442052582763     0.007551293253876931   0.19015405260332796    0.00566021261534682   
13 3 3       1.0        1.8909393748402628     0.0009252678596508156  1.8912718104926067     0.007505411687462608   0.19015405260332796    0.00566021261534682   
13 1 3       1.0        1.889391916329395      0.004853773350840477   1.8913106438145832     0.007610558959976433   0.19015405260332796    0.00566021261534682   
13 4 3       1.0        1.8893870618011257     0.004080783475217334   1.8913787041095937     0.007062335092232082   0.19015405260332796    0.00566021261534682   
13 5 3       1.0        1.887841946219043      0.00868848350802094    1.8914380081931708     0.006984489683972008   0.19015405260332796    0.00566021261534682   
13 2 3       1.0        1.8890974567806798     0.004972287257670198   1.8916051156866591     0.006860934318860385   0.19015405260332796    0.00566021261534682   
