"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"30 1 5 1",0.01,0.049785565697207323,0.010216400758823536,0.12562042895083295,0.07285756196571633,0.9614924506387921,0.026467403040835436
"30 4 3 1",0.01,0.04343415662500687,0.008731563961463983,0.1271616171519651,0.05470369632944644,0.9536293442056645,0.03317733564970626
"30 4 5 1",0.01,0.04658963783049432,0.010409703509338092,0.13036676446038736,0.06865870090539385,0.9537254596415119,0.026741630108263904
"30 2 3 1",0.01,0.048175313301743565,0.012790517136428783,0.1394877594640846,0.08246938005724051,0.9496114169987283,0.03657272366359772
"30 2 1 1",0.01,0.060778343088450114,0.029534747962162305,0.141745204902137,0.050253220913226475,0.9623183500182932,0.018741283441810322
"30 1 2 1",0.01,0.08154572902958146,0.01761835507294175,0.1423611795958385,0.08211650997566174,0.952608297290363,0.032486336427704876
"30 5 3 1",0.01,0.04129818277247307,0.009161589774463807,0.1436888899084368,0.10907589115076309,0.954502788719396,0.03503906740399177
"30 3 3 1",0.01,0.04913574690357399,0.010374781683585708,0.14483620435102912,0.09008810124872513,0.9440677064289236,0.04103022802732981
"30 5 2 1",0.01,0.07077104033350215,0.012077360811071835,0.1555396761880616,0.06643127744928005,0.9518805683783388,0.02956283952167705
"30 5 1 1",0.01,0.05700975321765953,0.011948717487641472,0.16117852245256456,0.08614543037687913,0.9432389316110246,0.032195955321962275
"30 1 1 1",0.01,0.11328720273196358,0.1825459318838463,0.17287160844334065,0.16626594089480254,0.8625285264933591,0.28840009125560556
"30 5 1",0.1,0.10926173746064412,0.006091302029936704,0.18737355816509413,0.04042074208670294,0.969580014303682,0.026688647604684815
"30 3 1",0.1,0.10935216590847403,0.0038331337836904856,0.18991831431691258,0.02778568299254389,0.9634815572024873,0.027431130743089203
"30 5 5 1",0.1,0.0967993140758597,0.0038323105219595136,0.19185027163144203,0.03154576448637144,0.9694197464475401,0.03461417786860718
"30 4 5 1",0.1,0.09563420746147779,0.004067934637503166,0.1920498609277697,0.033927396592656436,0.962513956473714,0.04246894705334429
"30 2 1",0.1,0.11177712976064072,0.0043966880332874155,0.19435840340879976,0.032073254996794295,0.964646264115918,0.0214814055022725
"30 3 4 1",0.1,0.09719523809434048,0.004033736490388582,0.19474878822284145,0.033378931892815523,0.9666117008346162,0.02396596291222785
"30 5 4 1",0.1,0.10053533290236513,0.0031846291798174895,0.19586296674643652,0.03414108836785213,0.9525185175950917,0.021908049086831933
"30 2 5 1",0.1,0.0974684893040423,0.004527737283074867,0.19622223636505431,0.0422413774533603,0.9629987528172441,0.039373046665777865
"30 3 2 1",0.1,0.10002417492329403,0.00502151482831215,0.19735846926567466,0.03708542757249784,0.9760472851028723,0.01513271934851375
"30 1 5 1",0.1,0.09767882130246328,0.004951265523112791,0.19978450763430494,0.037061705796750825,0.965686717958414,0.023262197941850655
"30 3 5 1",0.1,0.09948848470796987,0.005739068657990003,0.20057371467413637,0.036177791900035616,0.9432442354393574,0.019968778203765396
"30 4 3 1",0.1,0.10114051839889696,0.009139594636423774,0.2006251928910549,0.0421453782008378,0.9518313448801253,0.03688699302008951
"30 4 4 1",0.1,0.1070532610694728,0.013578770977101376,0.20096549368533703,0.04337061259671895,0.9516321553480106,0.03401917785218063
"30 2 4 1",0.1,0.10008252409052523,0.004265738752798861,0.20219574488670253,0.03123681256240843,0.9529525403893258,0.029452465122470118
"30 2 3 1",0.1,0.10019127654649033,0.004392757714890475,0.20233708398675537,0.027215879793649526,0.966756168769782,0.024806067277417576
"30 2 2 1",0.1,0.10557271587996257,0.006411249452489432,0.20288084932284006,0.03262293344092738,0.9759357696566997,0.02623934203135381
"30 5 3 1",0.1,0.10168199360078181,0.0044831964854170295,0.2030386896983955,0.05420997252252836,0.9572172276977184,0.03389823036021347
"30 5 2 1",0.1,0.10540311263332716,0.005841382265275822,0.20322255019652538,0.03255593688905137,0.9548507788297919,0.03175769935641318
