"Structure",Lambda,Avg J_t,Stddev J_t,Avg J_cv,Stddev J_cv,Avg F1_score,Stddev F1_score
"8 5 2 1",0.01,0.42692953684246226,0.01004404368180209,0.5392335781446562,0.10366081966980983,0.6321561306754203,0.0869700581827581
"8 5 4 1",0.1,0.500122166431401,0.049648778525660485,0.5416509947227084,0.05675691857684471,0.5673759043982122,0.20447448402039411
"8 5 5 1",0.1,0.5018279670364897,0.04903129719120188,0.5456657206564929,0.05835597292816707,0.5634796006908239,0.20458162089253204
"8 4 4 1",0.1,0.5208908821700955,0.0634211936490877,0.5639079789987599,0.05642130829910408,0.45884895536525294,0.25348611288259215
"8 3 5 1",0.1,0.5315133275679031,0.07569168713735135,0.5695965037847581,0.0692384229337573,0.42800746055609273,0.29238132466217154
"8 5 3 1",0.1,0.5396239816138488,0.07065189923675852,0.5704270223875179,0.06977071409711168,0.4519212049249596,0.30136435537749084
"8 2 3 1",0.1,0.5336420890849045,0.07459695078129969,0.5773849504894359,0.04812437115967502,0.46563214528136926,0.30813610240344574
"8 5 2 1",0.1,0.5289447855483026,0.07740962739713762,0.5775953521400189,0.06080949269664435,0.43520306165458644,0.29116125735941945
"8 2 4 1",0.1,0.5313640961061227,0.07586478495807318,0.5786247085727517,0.05698341678516784,0.43141749562075304,0.29148824041194676
"8 3 4 1",0.1,0.5192621464252605,0.04327980077207341,0.5826004011700124,0.07679713968828254,0.46458212335499854,0.1726501271003669
"8 1 5 1",0.1,0.5509055600467422,0.07857560552487342,0.584660542826928,0.057376687149480486,0.3728002718201064,0.3072765584898862
"8 4 3 1",0.1,0.5324379400037261,0.07498634835388372,0.587573966376341,0.04812444922430132,0.4205916919959473,0.2806305876647112
"8 4 2 1",0.1,0.5811184061975754,0.08057315272199667,0.6037795328185893,0.053358849751453385,0.2596631205673759,0.31822770163757386
"8 3 2 1",0.1,0.5881950932865581,0.07198862273548653,0.6044467088495219,0.06699078225371048,0.27862726986631137,0.34382203140533585
"8 3 3 1",0.1,0.5826225307689203,0.07877056699446555,0.6047174958288215,0.05348362434956809,0.24951155242777726,0.3064378967585583
"8 1 3 1",0.1,0.5600203334645654,0.071128206513038,0.6066517015463345,0.0441655803553715,0.4024186949520968,0.3299059039580373
"8 2 1 1",0.1,0.5985107572667406,0.07363083605049063,0.6072127217337486,0.06441076904887871,0.19609582963620228,0.3001214722528199
"8 4 5 1",0.1,0.5749413280363755,0.07220639239115641,0.6074009968692574,0.05915791206222316,0.25465047233468285,0.27138404136364797
"8 1 4 1",0.1,0.5978660752240594,0.07486317518911917,0.6094578611292225,0.06446285064261022,0.20028657616892911,0.3110932652374394
"8 5 1 1",0.1,0.6043538459438539,0.06500304503985849,0.6186388007273104,0.04461124483050667,0.2050697450697451,0.3140676058121369
"8 3 1 1",0.1,0.5984380184110891,0.07383878279993683,0.6189286516546829,0.04824660871020786,0.17572649572649574,0.27063969965705775
"8 2 5 1",0.1,0.5969956332955236,0.07648937998303841,0.6237684246828289,0.03760620108288698,0.17493606138107415,0.2721117048692893
"8 2 2 1",0.1,0.6142279727553743,0.06523972722330149,0.625834599853807,0.041960737784000716,0.1265365853658537,0.2539563167690238
"8 4 1 1",0.1,0.6155877300046745,0.06274200074345006,0.6260488952954035,0.04973334103827882,0.12692307692307692,0.2608871981863326
"8 3 1 1",1.0,0.6468049459107917,0.00023140504384364804,0.6468110145786633,0.0021337734046077534,0.0,0.0
"8 4 1 1",1.0,0.6468047796044593,0.00023150348872774052,0.6468118483405719,0.0021299476384758656,0.0,0.0
"8 5 1 1",1.0,0.6468062037780303,0.00023084612761073455,0.6468145795256343,0.0021310527937945414,0.0,0.0
"8 1 1 1",1.0,0.6468081325119803,0.0002304049290600034,0.6468147481046658,0.002139129065753351,0.0,0.0
"8 2 1 1",1.0,0.6468057873245956,0.00023100105191788491,0.6468149765702236,0.002129248914436679,0.0,0.0
"8 5 2 1",1.0,0.6468276678103992,0.00022559730739642344,0.6468341862427182,0.002171929590018766,0.0,0.0
"8 1 2 1",1.0,0.6468363962713328,0.0002308248821544964,0.6468354164131054,0.002186656703327489,0.0,0.0
"8 4 2 1",1.0,0.6468268363863653,0.00022529207125167707,0.6468358385307333,0.002166761760005261,0.0,0.0
