Structure    Lambda     Avg J_t              Avg J_cv             Avg F1_score        
8 5 1 1      0.1        0.6043538459438539   0.6186388007273104   0.2050697450697451  
8 3 1 1      0.1        0.5984380184110891   0.6189286516546829   0.17572649572649574 
8 2 5 1      0.1        0.5969956332955236   0.6237684246828289   0.17493606138107415 
8 2 2 1      0.1        0.6142279727553743   0.625834599853807    0.1265365853658537  
8 4 1 1      0.1        0.6155877300046745   0.6260488952954035   0.12692307692307692 
8 3 1 1      1.0        0.6468049459107917   0.6468110145786633   0.0                 
8 4 1 1      1.0        0.6468047796044594   0.6468118483405719   0.0                 
8 5 1 1      1.0        0.6468062037780303   0.6468145795256344   0.0                 
8 1 1 1      1.0        0.6468081325119802   0.6468147481046659   0.0                 
8 2 1 1      1.0        0.6468057873245956   0.6468149765702236   0.0                 
8 5 2 1      1.0        0.6468276678103992   0.6468341862427182   0.0                 
8 1 2 1      1.0        0.6468363962713328   0.6468354164131054   0.0                 
8 4 2 1      1.0        0.6468268363863653   0.6468358385307333   0.0                 
8 3 2 1      1.0        0.6468250011398765   0.6468399542532307   0.0                 
8 1 1 1      0.1        0.6468038853650268   0.6468546484552637   0.0                 
8 3 3 1      1.0        0.6468655075882475   0.6468878884671311   0.0                 
8 1 2 1      0.1        0.6468134862333624   0.6468895875712211   0.0                 
8 2 2 1      1.0        0.6468670773706586   0.6468933415588471   0.0                 
8 5 3 1      1.0        0.6468815419877522   0.6468970129373102   0.0                 
8 4 3 1      1.0        0.6469118069245852   0.6469324974332373   0.0                 
8 5 4 1      1.0        0.6469448290783301   0.6469580390566877   0.0                 
8 1 4 1      1.0        0.6469509522832075   0.6469739767961784   0.0                 
8 1 3 1      1.0        0.6469583208441856   0.6469847375752583   0.0                 
8 4 4 1      1.0        0.6469683817996718   0.6469922078214889   0.0                 
8 2 3 1      1.0        0.6469664861375649   0.6470072065014965   0.0                 
8 3 4 1      1.0        0.6470172309246134   0.6470438121724036   0.0                 
8 2 4 1      1.0        0.647011804877373    0.6470653287164103   0.0                 
8 2 5 1      1.0        0.647086050886565    0.6471241982936174   0.0                 
8 5 5 1      1.0        0.6470926764963533   0.6471322168024114   0.0                 
8 4 5 1      1.0        0.6470978001003254   0.6471469562801468   0.0                 
8 1 5 1      1.0        0.6471038581496227   0.6471485599674954   0.0                 
8 3 5 1      1.0        0.6471033992779185   0.6471494598314943   0.0                 
8 1 1        1.0        0.6453992443403822   0.6472071451569636   0.0                 
8 4 1        1.0        0.6457867083492868   0.6473568580183036   0.0                 
8 2 1        1.0        0.644880150435365    0.6473812843221972   0.0                 
8 5 1        1.0        0.6457361308505151   0.6474693756591492   0.0                 
8 3 1        1.0        0.6448994385855982   0.647673391610085    0.0                 
