Iterations,J_t
10,0.6479565142630669
20,0.6156193423513642
30,0.5303783188646086
40,0.4338185896351117
50,0.366387603701992
60,0.32443903444071753
70,0.2980275784344766
80,0.2805925143701759
90,0.2680526189311875
100,0.25827064795613175
110,0.2508303838188175
120,0.2460656065072835
130,0.2440618276691352
140,0.24406914720497408
150,0.2445848291723005
160,0.2444922987957992
170,0.2436777407286517
180,0.24245168111811533
190,0.24105999308038298
200,0.23961947881419754
210,0.2381741648938305
220,0.23673735304353644
230,0.23531001187985662
240,0.23388725379192776
250,0.23246071446549602
260,0.23101991053325333
270,0.22955318498511315
280,0.22804814787145794
290,0.2264916693582854
300,0.22486974646208838
310,0.22316763869037873
320,0.2213705566610741
330,0.21946496446907474
340,0.21744027784428946
350,0.21529049497915126
360,0.21301521682913518
370,0.21061966359719647
380,0.20811357964995764
390,0.2055091835322693
400,0.20281850738357826
410,0.20005061394647997
420,0.19720929101779522
430,0.19429188496691305
440,0.19128991243640908
450,0.18819184394715516
460,0.1849877741544488
470,0.18167466719537884
480,0.17826016246649118
490,0.1747633241286204
500,0.17121217200441563
510,0.16763932778625698
520,0.16407762887350996
530,0.16055699383380637
540,0.15710285157458
550,0.15373576447022552
560,0.15047169201568822
570,0.1473224765095847
580,0.14429633893950225
590,0.14139831903141503
600,0.13863066053988612
610,0.13599316151603363
620,0.13348350842561826
630,0.13109760643134316
640,0.12882991020019788
650,0.12667375215185156
660,0.12462165985181527
670,0.12266565217511287
680,0.12079750463765443
690,0.11900897700678252
700,0.11729200009330748
710,0.11563882289050757
720,0.11404212552813917
730,0.11249510745160192
740,0.11099156331899103
750,0.10952596054621615
760,0.10809353095707205
770,0.1066903829491308
780,0.10531362871653542
790,0.1039615043132049
800,0.10263344384690598
810,0.10133006228007894
820,0.10005301340338721
830,0.09880472158457959
840,0.09758802589420858
850,0.0964058035729457
860,0.09526064263113304
870,0.09415461178920932
880,0.09308914334178964
890,0.0920650159551469
900,0.09108240842459935
910,0.09014099249646268
920,0.08924003856968954
930,0.08837851705416111
940,0.08755518650170498
950,0.08676866559598313
960,0.08601748954154567
970,0.08530015294771305
980,0.08461514171025973
990,0.0839609562373338
1000,0.08333612800290409
1010,0.08273923102066022
1020,0.08216888948532516
1030,0.08162378254483767
1040,0.081102646942283
1050,0.08060427809109863
1060,0.08012753001111453
1070,0.07967131444814927
1080,0.07923459941953967
1090,0.07881640736684511
1100,0.07841581305077722
1110,0.07803194128871603
1120,0.07766396460923582
1130,0.0773111008786931
1140,0.07697261094045085
1150,0.07664779629643093
1160,0.0763359968524559
1170,0.07603658874255052
1180,0.0757489822425275
1190,0.07547261977940688
1200,0.07520697404027046
1210,0.07495154618184342
1220,0.07470586414029846
1230,0.0744694810393931
1240,0.07424197369401661
1250,0.0740229412054686
1260,0.07381200364427798
1270,0.0736088008160544
1280,0.07341299110570512
1290,0.07322425039532121
1300,0.07304227105110181
1310,0.0728667609748244
1320,0.07269744271556128
1330,0.07253405263756435
1340,0.0723763401404787
1350,0.07222406692830155
1360,0.0720770063237427
1370,0.07193494262488878
1380,0.0717976705013002
1390,0.0716649944268836
1400,0.0715367281470884
1410,0.07141269417815382
1420,0.07129272333630943
1430,0.0711766542949831
1440,0.07106433316821618
1450,0.07095561311861287
1460,0.07085035398827132
1470,0.07074842195125197
1480,0.07064968918623649
1490,0.0705540335681244
1500,0.07046133837739658
